text_id,source_type,model,base_prompt,sampling_strategy,few_shot,Filepath,wordtypes,wordtokens,swordtypes,swordtokens,lextypes,lextokens,slextypes,slextokens,verbtypes,verbtokens,sverbtypes,sverbtokens,adjtypes,adjtokens,advtypes,advtokens,nountypes,nountokens,LD,LS1,LS2,VS1,VS2,CVS1,NDW,NDW-50,NDW-ER50,NDW-ES50,TTR,MSTTR,CTTR,RTTR,LogTTR,Uber,LV,VV1,SVV1,CVV1,VV2,NV,AdjV,AdvV,ModV
01-a2,Candidate,GPT-5,With Description,Random,1.0,cli_text,56,75,8,13,26,33,8,13,9,11,2,2,6,6,2,2,9,14,0.44,0.3939,0.1429,0.1818,0.3636,0.4264,56,38,40.1,39.1,0.7467,0.76,4.5724,6.4663,0.9323,27.7116,0.7879,0.8182,7.3636,1.9188,0.2727,0.6429,0.1818,0.0606,0.2424
01-a2,Candidate,GPT-5,With Description,Random,2.0,cli_text,54,75,7,12,27,34,7,12,7,9,1,1,6,6,4,4,10,15,0.4533,0.3529,0.1296,0.1111,0.1111,0.2357,54,37,39.0,38.3,0.72,0.74,4.4091,6.2354,0.9239,24.6437,0.7941,0.7778,5.4444,1.6499,0.2059,0.6667,0.1765,0.1176,0.2941
01-a2,Candidate,Opus 3,With Description,Confidence-Based,1.0,cli_text,58,88,6,9,29,42,6,9,9,9,1,1,5,8,4,5,12,20,0.4773,0.2143,0.1034,0.1111,0.1111,0.2357,58,38,38.6,39.2,0.6591,0.76,4.3719,6.1828,0.9069,20.8833,0.6905,1.0,9.0,2.1213,0.2143,0.6,0.119,0.0952,0.2143
01-a2,Candidate,GPT-5,With Description,Contrastive,0.0,cli_text,57,77,7,13,25,33,7,13,7,7,1,1,6,7,1,1,11,18,0.4286,0.3939,0.1228,0.1429,0.1429,0.2673,57,37,40.3,38.1,0.7403,0.74,4.5932,6.4958,0.9308,27.2467,0.7576,1.0,7.0,1.8708,0.2121,0.6111,0.1818,0.0303,0.2121
01-a2,Candidate,GPT-5,With Description,Confidence-Based,1.0,cli_text,63,96,9,14,36,45,9,14,12,14,1,1,6,7,2,2,16,22,0.4688,0.3111,0.1429,0.0714,0.0714,0.189,63,36,39.0,37.6,0.6562,0.72,4.5466,6.4299,0.9077,21.4803,0.8,0.8571,10.2857,2.2678,0.2667,0.7273,0.1333,0.0444,0.1778
01-a2,Candidate,GPT-5,With Description,Confidence-Based,2.0,cli_text,59,79,7,10,31,36,7,10,7,9,1,1,7,7,4,4,13,16,0.4557,0.2778,0.1186,0.1111,0.1111,0.2357,59,39,39.3,39.7,0.7468,0.78,4.6938,6.638,0.9332,28.4045,0.8611,0.7778,5.4444,1.6499,0.1944,0.8125,0.1944,0.1111,0.3056
01-a2,Candidate,Opus 1,With Description,Contrastive,1.0,cli_text,53,77,6,14,29,39,6,14,11,11,1,1,5,6,3,3,11,19,0.5065,0.359,0.1132,0.0909,0.0909,0.2132,53,35,36.8,36.8,0.6883,0.7,4.2709,6.0399,0.914,21.9391,0.7436,1.0,11.0,2.3452,0.2821,0.5789,0.1282,0.0769,0.2051
01-a2,Candidate,GPT-5,With Description,Contrastive,1.0,cli_text,61,92,7,12,32,41,7,12,10,12,1,1,7,7,2,2,13,20,0.4457,0.2927,0.1148,0.0833,0.0833,0.2041,61,37,38.6,38.1,0.663,0.74,4.497,6.3597,0.9091,21.6099,0.7805,0.8333,8.3333,2.0412,0.2439,0.65,0.1707,0.0488,0.2195
01-a2,Candidate,Gemma 3,With Description,Contrastive,1.0,cli_text,45,65,3,4,19,28,3,4,7,9,0,0,4,5,0,0,8,14,0.4308,0.1429,0.0667,0.0,0.0,0.0,45,35,37.5,35.2,0.6923,0.7,3.9468,5.5816,0.9119,20.5801,0.6786,0.7778,5.4444,1.6499,0.25,0.5714,0.1429,0.0,0.1429
01-a2,Candidate,Gemma 3,With Description,Confidence-Based,2.0,cli_text,48,65,5,6,22,29,5,6,9,10,1,1,4,5,2,2,7,12,0.4462,0.2069,0.1042,0.1,0.1,0.2236,48,39,38.1,39.7,0.7385,0.78,4.2099,5.9537,0.9274,24.9609,0.7586,0.9,8.1,2.0125,0.3103,0.5833,0.1379,0.069,0.2069
